OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
1424	320	320	Prior	Flavius Valerius Constantinus Augustus VI	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3087	320	320	Posterior	Flavius Claudius Constantinus Caesar	x		https://en.wikipedia.org/wiki/Constantine_II_(emperor)		
1425	321	321	Prior	West: Flavius Julius Crispus Caesar II	n		https://en.wikipedia.org/wiki/Crispus		
1426	321	321	Prior	East: Valerius Licinianus Licinius Augustus VI	n		https://en.wikipedia.org/wiki/Licinius_II		
3088	321	321	Posterior	Flavius Claudius Constantinus Caesar II	n		https://en.wikipedia.org/wiki/Constantine_II_(emperor)		
3089	321	321	Posterior	Valerius Licinianus Licinius Caesar II	n				
1427	322	322	Prior	West: Petronius Probianus	x		https://en.wikipedia.org/wiki/Petronius_Probianus		
3090	322	322	Posterior	Amnius Anicius Julianus	x		https://en.wikipedia.org/wiki/Amnius_Anicius_Julianus		
1428	323	323	Prior	West: Acilius Severus	x		https://en.wikipedia.org/wiki/Acilius_Severus_(consul)		
3091	323	323	Posterior	Vettius Rufinus	x				
1429	324	324	Prior	Flavius Julius Crispus Caesar III	n		https://en.wikipedia.org/wiki/Crispus		
3092	324	324	Posterior	Flavius Claudius Constantinus Caesar III	n		https://en.wikipedia.org/wiki/Constantine_II_(emperor)		
1430	325	325	Prior	Valerius Proculus (January–May)	x				
1431	325	325	suff. (I)	Julius Julianus (May–December)	x		https://en.wikipedia.org/wiki/Julius_Julianus		
3093	325	325	Posterior	Sex. Anicius Paulinus	x				
1432	326	326	Prior	Flavius Valerius Constantinus Augustus VII	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3095	326	326	Posterior	Flavius Julius Constantius Caesar	x		https://en.wikipedia.org/wiki/Constantius_II		
1433	327	327	Prior	Flavius Constantius	x				
3096	327	327	Posterior	Valerius Maximus	x				
1434	328	328	Prior	Flavius Januarinus	x				
3097	328	328	Posterior	Vettius Justus	x				
1435	329	329	Prior	Flavius Valerius Constantinus Augustus VIII	n		https://en.wikipedia.org/wiki/Constantine_the_Great		
3098	329	329	Posterior	Flavius Claudius Constantinus Caesar IV	n		https://en.wikipedia.org/wiki/Constantine_II_(emperor)		
1436	330	330	Prior	Gallicanus	x		https://en.wikipedia.org/wiki/Flavius_Gallicanus		
3099	330	330	Posterior	Aurelius Valerius Symmachus Tullianus	x		https://en.wikipedia.org/wiki/Aurelius_Valerius_Symmachus_Tullianus		
1437	331	331	Prior	Junius Bassus	x		https://en.wikipedia.org/wiki/Junius_Bassus_(consul)		
3100	331	331	Posterior	Ablabius	x		https://en.wikipedia.org/wiki/Ablabius_(consul)		
1438	332	332	Prior	L. Papius Pacatianus	x		https://en.wikipedia.org/wiki/Pacatian_(Roman_governor)		
3101	332	332	Posterior	Mecilius Hilarianus	x		https://en.wikipedia.org/wiki/Mecilius_Hilarianus		
1439	333	333	Prior	Flavius Dalmatius	x		https://en.wikipedia.org/wiki/Flavius_Dalmatius		
3102	333	333	Posterior	Domitius Zenofilus	x		https://en.wikipedia.org/wiki/Domitius_Zenofilus		
1440	334	334	Prior	Optatus	x		https://en.wikipedia.org/wiki/Flavius_Optatus		
3103	334	334	Posterior	Amnius Manius Caesonius Nicomachus Anicius Paulinus	x		https://en.wikipedia.org/wiki/Amnius_Manius_Caesonius_Nicomachus_Anicius_Paulinus		
1441	335	335	Prior	Julius Constantius	x		https://en.wikipedia.org/wiki/Julius_Constantius		
3104	335	335	Posterior	Ceionius Rufius Albinus	x		https://en.wikipedia.org/wiki/Ceionius_Rufius_Albinus		
1442	336	336	Prior	Nepotianus	x				
3105	336	336	Posterior	Tettius Facundus	x				
1443	337	337	Prior	Felicianus	x		https://en.wikipedia.org/wiki/Felicianus_(consul)		
3106	337	337	Posterior	Fabius Titianus	x		https://en.wikipedia.org/wiki/Fabius_Titianus		
1444	338	338	Prior	Ursus	x				
3107	338	338	Posterior	Polemius	x				
1445	339	339	Prior	Flavius Julius Constantius Augustus II	n		https://en.wikipedia.org/wiki/Constantius_II		
3108	339	339	Posterior	Flavius Julius Constans Augustus	x				
1446	340	340	Prior	Septimius Acindynus	x		https://en.wikipedia.org/wiki/Septimius_Acindynus		
3109	340	340	Posterior	L. Aradius Valerius Proculus	x				
1447	341	341	Prior	Antonius Marcellinus	x				
3110	341	341	Posterior	Petronius Probinus	x				
1448	342	342	Prior	Flavius Julius Constantius Augustus III	n		https://en.wikipedia.org/wiki/Constantius_II		
3111	342	342	Posterior	Flavius Julius Constans Augustus II	n				
1449	343	343	Prior	M. Maecius Memmius Furius Baburius Caecilianus Placidus	x		https://en.wikipedia.org/wiki/Marcus_Maecius_Memmius_Furius_Baburius_Caecilianus_Placidus		
3112	343	343	Posterior	Romulus	x				
1450	344	344	Prior	Domitius Leontius	x		https://en.wikipedia.org/wiki/Domitius_Leontius		
3113	344	344	Posterior	(a) Bonosus	x				
3114	344	344	Posterior	(b) Julius Sallustius	x				
1452	345	345	Prior	Amantius	x				
3115	345	345	Posterior	M. Nummius Albinus	x				
1453	346	346	Prior	Flavius Julius Constantius Augustus IV	n		https://en.wikipedia.org/wiki/Constantius_II		
3116	346	346	Posterior	Flavius Julius Constans Augustus III	n				
1454	347	347	Prior	Vulcacius Rufinus	x		https://en.wikipedia.org/wiki/Vulcacius_Rufinus		
3117	347	347	Posterior	Eusebius	x				
1455	348	348	Prior	Philippus	x		https://en.wikipedia.org/wiki/Philippus_(consul_348)		
3118	348	348	Posterior	Salia	x				
1456	349	349	Prior	Ulpius Limenius	x		https://en.wikipedia.org/wiki/Ulpius_Limenius		
3119	349	349	Posterior	Aconius Catullinus	x				
1457	350	350	Prior	Sergius	x				
3120	350	350	Posterior	Nigrinianus	x				
1458	351	351	Prior	West: Magnus Magnentius Augustus	x		https://en.wikipedia.org/wiki/Magnentius		
1459	351	351	Prior	East: post consulatum Sergii et Nigriniani	x				
3121	351	351	Posterior	Gaiso	x				
1460	352	352	Prior	West: Magnus Decentius Caesar	x		https://en.wikipedia.org/wiki/Decentius		
1461	352	352	Prior	East: Flavius Julius Constantius Augustus V	x		https://en.wikipedia.org/wiki/Constantius_Gallus		
3123	352	352	Posterior	Paulus	x				
3124	352	352	Posterior	Flavius Claudius Constantius Caesar	x				
1462	353	353	Prior	Flavius Julius Constantius Augustus VI	n		https://en.wikipedia.org/wiki/Constantius_II		
3125	353	353	Posterior	Flavius Claudius Constantius Caesar II	n				
1463	354	354	Prior	Flavius Julius Constantius Augustus VII	n		https://en.wikipedia.org/wiki/Constantius_II		
3126	354	354	Posterior	Flavius Claudius Constantius Caesar III	n				
1464	355	355	Prior	Arbitio	x		https://en.wikipedia.org/wiki/Arbitio		
3127	355	355	Posterior	Q. Flavius Maesius Egnatius Lollianus	x				
1465	356	356	Prior	Flavius Julius Constantius Augustus VIII	n		https://en.wikipedia.org/wiki/Constantius_II		
3128	356	356	Posterior	Flavius Claudius Julianus Caesar	x				
1466	357	357	Prior	Flavius Julius Constantius Augustus IX	n		https://en.wikipedia.org/wiki/Constantius_II		
3129	357	357	Posterior	Flavius Claudius Julianus Caesar II	n				
1467	358	358	Prior	Censorius Datianus	x		https://en.wikipedia.org/wiki/Censorius_Datianus		
3130	358	358	Posterior	Neratius Cerealis	x				
1468	359	359	Prior	Eusebius	x		https://en.wikipedia.org/wiki/Eusebius_(consul_359)		
3131	359	359	Posterior	Hypatius	x				
1469	360	360	Prior	Flavius Julius Constantius Augustus X	n		https://en.wikipedia.org/wiki/Constantius_II		
3132	360	360	Posterior	Flavius Claudius Julianus Caesar III	n				
1470	361	361	Prior	Taurus	x		https://en.wikipedia.org/wiki/Taurus_(consul_361)		
3133	361	361	Posterior	Florentius	x				
1471	362	362	Prior	Claudius Mamertinus	x		https://en.wikipedia.org/wiki/Claudius_Mamertinus		
3134	362	362	Posterior	Nevitta	x				
1472	363	363	Prior	Flavius Claudius Julianus Augustus IV	n		https://en.wikipedia.org/wiki/Julian_(emperor)		
3135	363	363	Posterior	Sallustius	x				
1473	364	364	Prior	Jovianus Augustus	x		https://en.wikipedia.org/wiki/Jovian_(emperor)		
3136	364	364	Posterior	Varronianus	x				
1474	365	365	Prior	Valentinianus Augustus	x		https://en.wikipedia.org/wiki/Valentinian_I		
3137	365	365	Posterior	Valens Augustus	x				
1475	366	366	Prior	Gratianus	x		https://en.wikipedia.org/wiki/Gratian		
3138	366	366	Posterior	Dagalaifus	x				
1476	367	367	Prior	Lupicinus	x		https://en.wikipedia.org/wiki/Lupicinus_(magister_equitum)		
3139	367	367	Posterior	Jovinus	x				
1477	368	368	Prior	Valentinianus Augustus II	n		https://en.wikipedia.org/wiki/Valentinian_I		
3140	368	368	Posterior	Valens Augustus II	n				
1478	369	369	Prior	Valentinianus (Galates)	x		https://en.wikipedia.org/wiki/Valentinianus_Galates		
3141	369	369	Posterior	Victor	x				
1479	370	370	Prior	Valentinianus Augustus III	n		https://en.wikipedia.org/wiki/Valentinian_I		
3142	370	370	Posterior	Valens Augustus III	n				
1480	371	371	Prior	Gratianus Augustus II	n		https://en.wikipedia.org/wiki/Gratian		
3143	371	371	Posterior	Sex. Claudius Petronius Probus	x				
1481	372	372	Prior	Domitius Modestus	x		https://en.wikipedia.org/wiki/Domitius_Modestus		
3144	372	372	Posterior	Arintheus	x				
1482	373	373	Prior	Valentinianus Augustus IV	n		https://en.wikipedia.org/wiki/Valentinian_I		
3145	373	373	Posterior	Valens Augustus IV	n				
1483	374	374	Prior	Gratianus Augustus III	n		https://en.wikipedia.org/wiki/Gratian		
3146	374	374	Posterior	Equitius	x				
1484	375	375	Prior	post consulatum Gratiani Augusti III et Equitii	x				
3147	375	375	Posterior	post consulatum Gratiani Augusti III et Equitii	n				
1485	376	376	Prior	Valens Augustus V	n		https://en.wikipedia.org/wiki/Valens		
3148	376	376	Posterior	Valentinianus (junior) Augustus	x				
1486	377	377	Prior	Gratianus Augustus IV	n		https://en.wikipedia.org/wiki/Gratian		
3149	377	377	Posterior	Merobaudes	x				
1487	378	378	Prior	Valens Augustus VI	n		https://en.wikipedia.org/wiki/Valens		
3150	378	378	Posterior	Valentinianus (junior) Augustus II	n				
1488	379	379	Prior	Decimius Magnus Ausonius	x		https://en.wikipedia.org/wiki/Decimius_Magnus_Ausonius		
3151	379	379	Posterior	Q. Clodius Hermogenianus Olybrius	x				
1489	380	380	Prior	Gratianus Augustus V	n		https://en.wikipedia.org/wiki/Gratian		
3152	380	380	Posterior	Theodosius Augustus	x				
1490	381	381	Prior	Syagrius (western)	x		https://en.wikipedia.org/wiki/Syagrius_(consul_381)		
3153	381	381	Posterior	Eucherius (eastern)	x				
1491	382	382	Prior	Claudius Antonius	x		https://en.wikipedia.org/wiki/Claudius_Antonius		
3154	382	382	Posterior	Afranius Syagrius	x				
1492	383	383	Prior	Merobaudes II	n		https://en.wikipedia.org/wiki/Merobaudes_(magister_peditum)		
3155	383	383	Posterior	Saturninus	x				
1493	384	384	Prior	Ricomer	x		https://en.wikipedia.org/wiki/Ricomer		
1494	384	384	Prior	Gaul: Magnus Maximus Augustus	x				
3156	384	384	Posterior	Clearchus	x				
1495	385	385	Prior	Arcadius Augustus	xp		https://en.wikipedia.org/wiki/Arcadius		
3158	385	385	Posterior	Bauto	x				
1496	386	386	Prior	Honorius	x		https://en.wikipedia.org/wiki/Honorius_(emperor)		
3159	386	386	Posterior	Euodius	x				
1497	387	387	Prior	Valentinianus Augustus III	x		https://en.wikipedia.org/wiki/Valentinian_II		
