OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
977	98	98	1 Sep. (I)	C. Pomponius Rufus Acilius [Pri]scus Coelius Sparsus	x	2394	https://en.wikipedia.org/wiki/Gaius_Pomponius_Rufus_Acilius_Priscus_Coelius_Sparsus		
978	98	98	1 Nov. (I)	Q. Fulvius Gillo Bittius Proculus	x	2395	https://en.wikipedia.org/wiki/Quintus_Fulvius_Gillo_Bittius_Proculus		
2633	98	98	Posterior	Imp. Caesar Nerva Trajanus II	n			inconsistent - no base name found	
2639	98	98	1 Jul. (II)	L. Maecius Postumus	x	2396			
2640	98	98	1 Sep. (II)	Cn. Pompeius Ferox Licinianus	x	2397			
2641	98	98	1 Nov. (II)	P. Julius Lupus	x	2398			
979	99	99	Prior	A. Cornelius Palma Frontonianus	x	2399	https://en.wikipedia.org/wiki/Aulus_Cornelius_Palma_Frontonianus		
980	99	99	suff. (I)	P. Sulpicius Lucretius Barba 	x	2400			
981	99	99	suff. (I)	Q. Fabius Barbarus Valerius Magnus Julianus	x	2401			
982	99	99	suff. (I)	Ti. Julius Ferox	x	2402			
2642	99	99	Posterior	Q. Sosius Senecio	x	2403			
2643	99	99	suff. (II)	Senecio Memmius Afer 	x	2404			
2644	99	99	suff. (II)	A. Caecilius Faustinus	x	2405			
2645	99	99	suff. (II)	unidentified	n			inconsistent	
983	100	100	Prior	Imp. Caesar Nerva Trajanus Augustus III	n		https://en.wikipedia.org/wiki/Trajan	inconsistent - no base name found	
