rulerID	row	name	reign	sheet_birthdeath	born	died	source	status
2152	2126	Cn. Cornelius Lentulus Gaetulicus			22	55	wikidata	OK
2153	2127	L. Antistius Vetus				65	wikidata	OK died only
2154	2128	L. Annaeus Seneca	55–55			65	wikidata	OK died only
2155	2129	T. Curtilius Mancia	55–55					NO-DATE on wikidata
2156	2130	Q. Volusius Saturninus	56–92		25		wikidata	OK born only
2157	2131	L. Junius Gallio Annaeanus	56–56		-3	65	wikidata	OK
2158	2132	P. Sulpicius Scribonius Rufus	56–56			67	wikidata	OK died only
2159	2133	L. Duvius Avitus	56–56					NO-DATE on wikidata
2160	2134	P. Cornelius Scipio						NO-DATE on wikidata
2161	2135	T. Cutius Ciltus	56–56					NO-URL no title match
2162	2136	P. Sulpicius Scribonius Proculus	56–56					NO-QID
2163	2137	P. Clodius Thrasea Paetus	56–56			66	wikidata	OK died only
2164	2138	L. Calpurnius Piso						NO-DATE on wikidata
2165	2139	L. Caesius Martialis	57–57					NO-DATE on wikidata
2166	2140	C. Fonteius Agrippa	58–58					NO-DATE on wikidata
2167	2141	A. Paconius Sabinus	58–58					NO-URL no title match
2168	2142	M. Valerius Messalla Corvinus						NO-DATE on wikidata
2169	2143	A. Petronius Lurco	58–58					NO-DATE on wikidata
2170	2144	C. Vipstanus Apronianus	59–59			86	wikidata	OK died only
2171	2145	T. Sextius Africanus	59–59		16		wikidata	OK born only
2172	2146	C. Fonteius Capito						NO-DATE on wikidata
2173	2147	M. Ostorius Scapula	59–59			66	wikidata	OK died only
2174	2148	C. Velleius Paterculus	60–60					NO-URL no title match
2175	2149	Cossus Cornelius Lentulus			27	60	wikidata	OK
2176	2150	M. Manilius Vopiscus	60–60					NO-URL no title match
2177	2151	P. Petronius Turpilianus	61–61		25	68	wikidata	OK
2178	2152	Cn. Pedanius Fuscus Salinator	61–118					NO-DATE on wikidata
2179	2153	L. Junius Caesennius Paetus	61–79		28		wikidata	OK born only
2180	2154	L. Velleius Paterculus	61–61					NO-URL no title match
2181	2155	P. Marius	62–62					NO-DATE on wikidata
2182	2156	Q. Manlius Tarquitius Saturninus	62–62					NO-URL no title match
2183	2157	T. Clodius Eprius Marcellus	62–74			79	wikidata	OK died only
2184	2158	Lucius Afinius Gallus	62–62					NO-DATE on wikidata
2185	2159	P. Petronius Niger	62–62					NO-URL no title match
2186	2160	C. Junius Marullus	62–62					NO-URL no title match
2187	2161	C. Memmius Regulus	63–63					NO-DATE on wikidata
2188	2162	L. Verginius Rufus	63–97		14	97	wikidata	OK
2189	2163	C. Laecanius Bassus						NO-DATE on wikidata
2190	2164	M. Licinius Crassus Frugi						NO-DATE on wikidata
2191	2165	A. Licinius Nerva Silianus						NO-DATE on wikidata
2192	2166	C. Pomponius Pius	65–98					NO-DATE on wikidata
2193	2167	M. Julius Vestinus Atticus (killed)	65–65			65	wikidata	OK died only
2194	2168	P. Pasidienus Firmus	65–65					NO-DATE on wikidata
2195	2169	C. Anicius Cerialis	65–65			66	wikidata	OK died only
2196	2170	C. Luccius Telesinus	66–68					NO-DATE on wikidata
2197	2171	M. Annius Afrinus	66–66					NO-DATE on wikidata
2198	2172	M. Arruntius Aquila	66–66					NO-DATE on wikidata
2199	2173	C. Suetonius Paullinus	66–66		10		wikidata	OK born only
2200	2174	C. Paccius Africanus	66–66					NO-DATE on wikidata
2201	2175	M. Vettius Bolanus	66–66		25	93	wikidata	OK
2202	2176	L. Julius Rufus	67–67					NO-DATE on wikidata
2203	2177	Ap. Annius Gallus	67–67					NO-DATE on wikidata
2204	2178	Fonteius Capito	67–67			68	wikidata	OK died only
2205	2179	L. Aurelius Priscus	67–67					NO-URL no title match
2206	2180	L. Verulanus Severus	67–67					NO-URL no title match
2207	2181	Ti. Catius Asconius Silius Italicus	68–68		26	101	wikidata	OK
2208	2182	C. Bellicus Natalis	68–68					NO-URL no title match
2209	2183	P. Galerius Trachalus	68–68					NO-DATE on wikidata
2210	2184	P. Cornelius Scipio Asiaticus	68–68		41		wikidata	OK born only
2213	2185	Cn. Arulenus Caelius Sabinus	69–69					NO-DATE on wikidata
2214	2186	Cn. Arrius Antoninus	69–97		31		wikidata	OK born only
2215	2187	Fabius Valens	69–69		35	69	wikidata	OK
2216	2188	Cn. Caecilius Simplex	69–69			69	wikidata	OK died only
